"","Channel 2 - Jetson Area Aluminum Panel Last (C)","Channel 3 - Jetson Area Display Panel Last (C)","Channel 4 - Jetson Area Touchscreen Last (C)","Channel 5 - Center Top Aluminum Panel Last (C)","Channel 6 - Center Top Display Panel Last (C)","Channel 7 - Center Top Touchscreen Last (C)","Channel 8 - Ambient Between Display and Aluminum Last (C)","Channel 1 - External Ambient Last (C)"
"00:00:00","25.884","27.007","26.212","25.645","27.069","27.043","26.252","25.542"
"00:00:01","25.888","27.014","26.216","25.642","27.080","27.047","26.256","25.546"
"00:00:02","25.896","27.033","26.216","25.639","27.084","27.051","26.253","25.554"
"00:00:03","25.889","27.048","26.209","25.639","27.100","27.037","26.264","25.558"
"00:00:04","25.886","27.063","26.213","25.639","27.114","27.041","26.257","25.565"
"00:00:05","25.879","27.089","26.221","25.628","27.130","27.038","26.269","25.581"
"00:00:06","25.886","27.112","26.232","25.643","27.148","27.034","26.265","25.603"
"00:00:07","25.883","27.130","26.233","25.648","27.171","27.035","26.273","25.603"
"00:00:08","25.887","27.145","26.229","25.640","27.189","27.042","26.284","25.611"
"00:00:09","25.891","27.153","26.240","25.644","27.201","27.035","26.281","25.600"
"00:00:10","25.895","27.172","26.230","25.645","27.208","27.046","26.281","25.608"
"00:00:11","25.884","27.179","26.237","25.638","27.231","27.047","26.281","25.612"
"00:00:12","25.899","27.198","26.241","25.634","27.246","27.066","26.282","25.627"
"00:00:13","25.892","27.216","26.245","25.638","27.261","27.069","26.289","25.623"
"00:00:14","25.903","27.250","26.253","25.635","27.305","27.088","26.312","25.646"
"00:00:15","25.907","27.276","26.268","25.646","27.331","27.103","26.312","25.646"
"00:00:16","25.904","27.291","26.265","25.647","27.335","27.093","26.313","25.617"
"00:00:17","25.890","27.310","26.276","25.647","27.358","27.100","26.317","25.625"
"00:00:18","25.897","27.336","26.280","25.655","27.399","27.126","26.321","25.618"
"00:00:19","25.887","27.355","26.277","25.633","27.395","27.119","26.324","25.607"
"00:00:20","25.894","27.362","26.288","25.648","27.377","27.108","26.325","25.607"
"00:00:21","25.902","27.362","26.292","25.644","27.359","26.855","26.329","25.604"
"00:00:22","25.895","27.377","26.299","25.659","27.440","27.153","26.336","25.600"
"00:00:23","25.903","27.393","26.330","25.649","27.441","27.150","26.348","25.586"
"00:00:24","25.903","27.389","26.322","25.653","27.423","27.136","26.337","25.594"
"00:00:25","25.911","27.401","26.334","25.649","27.441","27.158","26.348","25.594"
"00:00:26","25.918","27.401","26.338","25.653","27.445","27.147","26.356","25.591"
"00:00:27","25.930","27.398","26.364","25.650","27.445","27.155","26.360","25.602"
"00:00:28","25.948","27.416","26.371","25.661","27.461","27.166","26.379","25.595"
"00:00:29","25.974","27.383","26.386","25.676","27.464","27.166","26.375","25.581"
"00:00:30","25.978","27.358","26.394","25.669","27.450","27.167","26.372","25.577"
"00:00:31","25.986","27.343","26.409","25.658","27.454","27.171","26.365","25.566"
"00:00:32","25.979","27.340","26.442","25.661","27.449","27.171","26.376","25.560"
"00:00:33","25.994","27.333","26.454","25.659","27.444","27.171","26.377","25.545"
"00:00:34","25.994","27.337","26.480","25.670","27.451","27.175","26.381","25.542"
"00:00:35","25.987","27.315","26.469","25.660","27.437","27.165","26.374","25.527"
"00:00:36","25.988","27.294","26.473","25.656","27.433","27.161","26.374","25.513"
"00:00:37","25.999","27.298","26.473","25.657","27.426","27.161","26.370","25.491"
"00:00:38","26.006","27.305","26.488","25.657","27.434","27.162","26.378","25.491"
"00:00:39","26.022","27.306","26.500","25.657","27.434","27.155","26.364","25.466"
"00:00:40","26.022","27.295","26.496","25.672","27.427","27.148","26.360","25.444"
"00:00:41","26.015","27.281","26.478","25.676","27.409","27.152","26.361","25.441"
"00:00:42","26.019","27.285","26.486","25.669","27.402","27.152","26.357","25.441"
"00:00:43","26.027","27.274","26.490","25.662","27.406","27.152","26.365","25.427"
"00:00:44","26.049","27.300","26.498","25.674","27.403","27.167","26.369","25.445"
"00:00:45","26.023","27.289","26.509","25.670","27.392","27.160","26.362","25.442"
"00:00:46","26.005","27.278","26.517","25.663","27.392","27.164","26.359","25.442"
"00:00:47","26.002","27.286","26.528","25.663","27.393","27.168","26.359","25.461"
"00:00:48","25.998","27.279","26.536","25.660","27.378","27.168","26.359","25.472"
"00:00:49","25.988","27.279","26.551","25.675","27.378","27.172","26.367","25.476"
"00:00:50","25.996","27.258","26.555","25.676","27.372","27.188","26.371","25.492"
"00:00:51","26.007","27.254","26.559","25.668","27.372","27.177","26.368","25.492"
"00:00:52","26.026","27.269","26.574","25.672","27.372","27.181","26.372","25.485"
"00:00:53","26.041","27.266","26.570","25.665","27.361","27.177","26.368","25.492"
"00:00:54","26.063","27.259","26.578","25.662","27.343","27.167","26.354","25.485"
"00:00:55","26.067","27.259","26.578","25.681","27.347","27.171","26.361","25.471"
"00:00:56","26.067","27.263","26.597","25.677","27.344","27.171","26.361","25.442"
"00:00:57","26.075","27.245","26.601","25.670","27.333","27.175","26.365","25.438"
"00:00:58","26.075","27.256","26.608","25.674","27.344","27.179","26.388","25.416"
"00:00:59","26.043","27.264","26.598","25.664","27.323","27.165","26.381","25.399"
"00:01:00","26.039","27.238","26.602","25.656","27.327","27.154","26.381","25.391"
"00:01:01","26.032","27.246","26.599","25.657","27.338","27.161","26.381","25.362"
"00:01:02","26.018","27.250","26.603","25.672","27.342","27.169","26.386","25.366"
"00:01:03","26.007","27.247","26.596","25.672","27.357","27.181","26.393","25.378"
"00:01:04","25.996","27.247","26.599","25.661","27.350","27.173","26.368","25.389"
"00:01:05","25.989","27.236","26.581","25.661","27.350","27.177","26.346","25.397"
"00:01:06","25.993","27.229","26.571","25.665","27.343","27.170","26.339","25.401"
"00:01:07","25.986","27.222","26.567","25.658","27.332","27.182","26.350","25.408"
"00:01:08","25.986","27.204","26.546","25.652","27.307","27.167","26.351","25.431"
"00:01:09","25.976","27.190","26.531","25.655","27.307","27.168","26.351","25.431"
"00:01:10","25.976","27.186","26.524","25.652","27.289","27.164","26.355","25.424"
"00:01:11","25.972","27.183","26.506","25.656","27.286","27.150","26.351","25.435"
"00:01:12","25.969","27.168","26.510","25.664","27.271","27.143","26.352","25.439"
"00:01:13","25.977","27.165","26.495","25.657","27.268","27.154","26.359","25.443"
"00:01:14","25.977","27.154","26.492","25.646","27.254","27.132","26.349","25.451"
"00:01:15","25.963","27.147","26.478","25.646","27.250","27.107","26.349","25.459"
"00:01:16","25.966","27.151","26.474","25.643","27.239","27.103","26.349","25.462"
"00:01:17","25.963","27.137","26.458","25.647","27.223","27.111","26.348","25.474"
"00:01:18","25.960","27.137","26.457","25.647","27.222","27.115","26.350","25.467"
"00:01:19","25.964","27.127","26.461","25.651","27.226","27.108","26.361","25.489"
"00:01:20","25.983","27.134","26.454","25.651","27.215","27.108","26.362","25.504"
"00:01:21","25.979","27.123","26.443","25.652","27.212","27.090","26.354","25.516"
"00:01:22","25.976","27.127","26.428","25.648","27.216","27.080","26.362","25.523"
"00:01:23","25.976","27.116","26.428","25.637","27.201","27.080","26.359","25.531"
"00:01:24","25.980","27.124","26.425","25.645","27.198","27.062","26.359","25.538"
"00:01:25","25.988","27.117","26.418","25.660","27.202","27.066","26.363","25.550"
"00:01:26","25.999","27.121","26.404","25.661","27.191","27.062","26.367","25.565"
"00:01:27","25.992","27.118","26.378","25.654","27.184","27.048","26.360","25.565"
"00:01:28","25.992","27.111","26.375","25.657","27.188","27.037","26.353","25.580"
"00:01:29","25.974","27.107","26.372","25.650","27.188","27.026","26.353","25.577"
"00:01:30","25.971","27.108","26.375","25.651","27.177","27.016","26.368","25.588"
"00:01:31","25.975","27.104","26.368","25.655","27.170","27.001","26.372","25.588"
"00:01:32","25.964","27.094","26.361","25.651","27.171","27.002","26.361","25.578"
"00:01:33","25.957","27.086","26.343","25.655","27.167","27.009","26.358","25.578"
"00:01:34","25.957","27.094","26.343","25.648","27.153","27.009","26.351","25.582"
"00:01:35","25.943","27.083","26.329","25.649","27.168","27.010","26.366","25.597"
"00:01:36","25.947","27.084","26.330","25.656","27.165","27.018","26.359","25.612"
"00:01:37","25.943","27.080","26.326","25.660","27.165","27.025","26.355","25.616"
"00:01:38","25.955","27.084","26.341","25.664","27.158","27.033","26.363","25.631"
"00:01:39","25.959","27.081","26.341","25.668","27.158","27.026","26.363","25.638"
"00:01:40","25.970","27.085","26.338","25.672","27.158","27.026","26.367","25.639"
"00:01:41","25.970","27.078","26.331","25.672","27.144","27.019","26.353","25.639"
"00:01:42","25.967","27.071","26.316","25.669","27.137","27.023","26.357","25.625"
"00:01:43","25.974","27.071","26.305","25.676","27.137","27.019","26.361","25.621"
"00:01:44","25.967","27.060","26.295","25.669","27.130","27.012","26.354","25.644"
"00:01:45","25.960","27.049","26.284","25.666","27.130","27.005","26.354","25.640"
"00:01:46","25.961","27.053","26.281","25.670","27.123","26.991","26.343","25.652"
"00:01:47","25.961","27.057","26.285","25.666","27.120","26.976","26.347","25.648"
"00:01:48","25.968","27.046","26.274","25.674","27.113","26.969","26.340","25.656"
"00:01:49","25.969","27.051","26.271","25.674","27.117","26.962","26.355","25.660"
"00:01:50","25.969","27.047","26.274","25.667","27.113","26.966","26.352","25.660"
"00:01:51","25.976","27.043","26.271","25.660","27.117","26.977","26.352","25.660"
"00:01:52","25.981","27.048","26.271","25.664","27.114","26.985","26.356","25.675"
"00:01:53","25.963","27.044","26.275","25.665","27.103","26.982","26.356","25.672"
"00:01:54","25.970","27.037","26.261","25.657","27.100","26.986","26.342","25.683"
"00:01:55","25.974","27.026","26.268","25.654","27.100","26.986","26.357","25.680"
"00:01:56","25.978","27.030","26.276","25.658","27.082","26.986","26.346","25.691"
"00:01:57","25.982","27.034","26.273","25.662","27.093","26.987","26.350","25.688"
"00:01:58","25.982","27.027","26.277","25.666","27.090","26.990","26.347","25.692"
"00:01:59","25.997","27.024","26.284","25.662","27.079","26.983","26.350","25.662"
"00:02:00","25.986","27.017","26.277","25.659","27.079","26.976","26.343","25.677"
"00:02:01","25.990","27.024","26.292","25.670","27.090","26.987","26.362","25.689"
"00:02:02","25.995","27.029","26.282","25.675","27.080","26.955","26.352","25.697"
"00:02:03","25.973","27.021","26.267","25.664","27.076","26.944","26.344","25.682"
"00:02:04","25.969","27.003","26.260","25.664","27.066","26.937","26.341","25.686"
"00:02:05","25.977","27.000","26.253","25.660","27.062","26.933","26.341","25.686"
"00:02:06","25.966","26.993","26.246","25.661","27.059","26.926","26.338","25.679"
"00:02:07","25.963","26.997","26.228","25.654","27.059","26.927","26.338","25.683"
"00:02:08","25.959","26.993","26.224","25.643","27.052","26.927","26.335","25.683"
"00:02:09","25.963","26.994","26.225","25.651","27.045","26.931","26.335","25.647"
"00:02:10","25.967","26.990","26.214","25.654","27.042","26.916","26.331","25.625"
"00:02:11","25.964","26.979","26.210","25.640","27.046","26.902","26.325","25.607"
"00:02:12","25.960","26.976","26.207","25.637","27.035","26.895","26.325","25.618"
"00:02:13","25.961","26.972","26.200","25.640","27.028","26.888","26.321","25.596"
"00:02:14","25.957","26.984","26.200","25.641","27.028","26.895","26.329","25.553"
"00:02:15","25.958","26.973","26.189","25.637","27.028","26.903","26.329","25.527"
"00:02:16","25.958","26.970","26.182","25.638","27.017","26.885","26.322","25.513"
"00:02:17","25.951","26.970","26.186","25.641","27.025","26.881","26.329","25.513"
"00:02:18","25.947","26.959","26.179","25.631","27.014","26.863","26.326","25.509"
"00:02:19","25.947","26.955","26.175","25.635","27.018","26.871","26.323","25.521"
"00:02:20","25.959","26.963","26.187","25.650","27.022","26.893","26.334","25.525"
"00:02:21","25.970","26.967","26.180","25.654","27.019","26.890","26.331","25.547"
"00:02:22","25.974","26.956","26.173","25.647","27.008","26.894","26.324","25.525"
"00:02:23","25.967","26.957","26.169","25.647","27.008","26.879","26.331","25.514"
"00:02:24","25.978","26.960","26.177","25.647","27.008","26.887","26.342","25.529"
"00:02:25","25.986","26.957","26.181","25.647","27.012","26.880","26.346","25.541"
"00:02:26","25.993","26.961","26.192","25.651","27.016","26.873","26.339","25.541"
"00:02:27","25.986","26.950","26.174","25.648","27.002","26.866","26.339","25.504"
"00:02:28","25.976","26.947","26.174","25.652","27.002","26.873","26.343","25.486"
"00:02:29","25.983","26.955","26.164","25.648","26.995","26.855","26.336","25.461"
"00:02:30","25.980","26.940","26.156","25.645","26.984","26.852","26.326","25.446"
"00:02:31","25.972","26.940","26.149","25.649","26.981","26.852","26.340","25.439"
"00:02:32","25.980","26.933","26.146","25.645","26.977","26.845","26.322","25.447"
"00:02:33","25.984","26.933","26.146","25.653","26.981","26.853","26.330","25.443"
"00:02:34","25.984","26.937","26.146","25.646","26.981","26.856","26.334","25.440"
"00:02:35","25.984","26.926","26.139","25.646","26.982","26.853","26.327","25.433"
"00:02:36","25.985","26.941","26.147","25.661","26.978","26.857","26.342","25.436"
"00:02:37","25.989","26.934","26.143","25.654","26.971","26.842","26.331","25.440"
"00:02:38","25.989","26.931","26.133","25.662","26.972","26.828","26.331","25.452"
"00:02:39","25.986","26.924","26.122","25.662","26.975","26.832","26.328","25.456"
"00:02:40","25.989","26.928","26.118","25.673","26.972","26.828","26.335","25.478"
"00:02:41","25.990","26.924","26.119","25.666","26.957","26.821","26.325","25.471"
"00:02:42","25.979","26.917","26.115","25.666","26.961","26.821","26.325","25.471"
"00:02:43","25.983","26.914","26.126","25.659","26.954","26.822","26.329","25.479"
"00:02:44","25.968","26.914","26.116","25.652","26.958","26.818","26.318","25.483"
"00:02:45","25.961","26.903","26.123","25.656","26.951","26.826","26.325","25.479"
"00:02:46","25.962","26.911","26.123","25.660","26.944","26.815","26.322","25.480"
"00:02:47","25.958","26.904","26.120","25.671","26.952","26.819","26.330","25.465"
"00:02:48","25.966","26.900","26.124","25.682","26.959","26.819","26.337","25.469"
"00:02:49","25.970","26.908","26.124","25.679","26.948","26.816","26.341","25.480"
"00:02:50","25.962","26.904","26.124","25.679","26.949","26.816","26.327","25.481"
"00:02:51","25.970","26.897","26.125","25.676","26.945","26.813","26.334","25.492"
"00:02:52","25.970","26.909","26.118","25.676","26.938","26.817","26.327","25.488"
"00:02:53","25.959","26.894","26.118","25.672","26.942","26.798","26.331","25.492"
"00:02:54","25.963","26.890","26.110","25.669","26.931","26.802","26.317","25.500"
"00:02:55","25.942","26.891","26.107","25.660","26.918","26.799","26.321","25.478"
"00:02:56","25.942","26.873","26.104","25.655","26.921","26.799","26.317","25.467"
"00:02:57","25.953","26.877","26.111","25.666","26.921","26.792","26.321","25.460"
"00:02:58","25.961","26.877","26.097","25.663","26.917","26.792","26.329","25.457"
"00:02:59","25.965","26.877","26.108","25.663","26.914","26.785","26.318","25.438"
"00:03:00","25.976","26.881","26.108","25.670","26.914","26.774","26.329","25.391"
"00:03:01","25.987","26.877","26.112","25.678","26.922","26.785","26.333","25.398"
"00:03:02","25.987","26.889","26.120","25.686","26.922","26.793","26.333","25.406"
"00:03:03","25.984","26.885","26.127","25.671","26.915","26.793","26.330","25.414"
"00:03:04","25.991","26.875","26.135","25.675","26.919","26.805","26.330","25.403"
"00:03:05","25.984","26.875","26.139","25.672","26.908","26.783","26.319","25.403"
"00:03:06","25.988","26.864","26.139","25.676","26.897","26.779","26.323","25.411"
"00:03:07","25.981","26.861","26.136","25.669","26.890","26.772","26.316","25.411"
"00:03:08","25.970","26.853","26.136","25.658","26.887","26.780","26.313","25.396"
"00:03:09","25.974","26.843","26.140","25.661","26.890","26.784","26.324","25.404"
"00:03:10","25.975","26.858","26.140","25.662","26.891","26.777","26.320","25.408"
"00:03:11","25.989","26.858","26.144","25.662","26.898","26.795","26.339","25.419"
"00:03:12","25.978","26.850","26.129","25.658","26.884","26.777","26.324","25.427"
"00:03:13","25.986","26.843","26.130","25.666","26.880","26.788","26.325","25.419"
"00:03:14","25.983","26.840","26.126","25.655","26.877","26.774","26.320","25.416"
"00:03:15","25.983","26.837","26.134","25.670","26.881","26.767","26.322","25.391"
"00:03:16","25.980","26.833","26.127","25.670","26.881","26.774","26.322","25.358"
"00:03:17","25.976","26.830","26.134","25.656","26.877","26.774","26.318","25.339"
"00:03:18","25.980","26.830","26.138","25.667","26.867","26.767","26.318","25.358"
"00:03:19","25.969","26.815","26.142","25.660","26.856","26.771","26.315","25.373"
"00:03:20","25.976","26.826","26.142","25.664","26.871","26.775","26.326","25.377"
"00:03:21","25.977","26.819","26.135","25.668","26.864","26.764","26.315","25.399"
"00:03:22","25.973","26.812","26.135","25.657","26.856","26.753","26.315","25.403"
"00:03:23","25.981","26.805","26.128","25.661","26.849","26.743","26.301","25.411"
"00:03:24","25.977","26.813","26.117","25.654","26.846","26.735","26.312","25.411"
"00:03:25","25.978","26.806","26.121","25.654","26.842","26.743","26.305","25.415"
"00:03:26","25.974","26.798","26.110","25.654","26.835","26.736","26.298","25.408"
"00:03:27","25.989","26.806","26.111","25.665","26.835","26.751","26.313","25.400"
"00:03:28","25.982","26.802","26.111","25.658","26.847","26.747","26.306","25.368"
"00:03:29","25.993","26.806","26.118","25.670","26.840","26.751","26.317","25.338"
"00:03:30","25.975","26.792","26.115","25.659","26.829","26.729","26.303","25.335"
"00:03:31","25.986","26.792","26.115","25.677","26.836","26.752","26.310","25.350"
"00:03:32","25.965","26.800","26.130","25.674","26.840","26.756","26.316","25.387"
"00:03:33","25.972","26.804","26.134","25.681","26.844","26.741","26.314","25.391"
"00:03:34","25.969","26.797","26.116","25.660","26.837","26.730","26.315","25.373"
"00:03:35","25.980","26.800","26.116","25.663","26.830","26.723","26.315","25.373"
"00:03:36","25.976","26.801","26.113","25.664","26.826","26.731","26.319","25.377"
"00:03:37","25.973","26.801","26.113","25.667","26.834","26.716","26.315","25.377"
"00:03:38","25.980","26.782","26.102","25.668","26.827","26.694","26.308","25.381"
"00:03:39","25.988","26.786","26.084","25.675","26.823","26.683","26.308","25.377"
"00:03:40","25.977","26.779","26.080","25.664","26.820","26.691","26.308","25.370"
"00:03:41","25.996","26.783","26.077","25.676","26.815","26.667","26.313","25.326"
"00:03:42","26.000","26.783","26.073","25.676","26.813","26.662","26.309","25.319"
"00:03:43","25.996","26.780","26.088","25.676","26.820","26.666","26.312","25.319"
"00:03:44","25.996","26.776","26.085","25.680","26.813","26.673","26.313","25.334"
"00:03:45","25.982","26.769","26.081","25.669","26.806","26.677","26.302","25.331"
"00:03:46","25.975","26.755","26.081","25.658","26.791","26.677","26.302","25.334"
"00:03:47","25.967","26.759","26.082","25.662","26.792","26.678","26.295","25.331"
"00:03:48","25.971","26.766","26.089","25.677","26.803","26.692","26.306","25.342"
"00:03:49","25.971","26.766","26.093","25.666","26.796","26.678","26.295","25.320"
"00:03:50","25.961","26.759","26.075","25.663","26.789","26.667","26.299","25.313"
"00:03:51","25.961","26.756","26.079","25.667","26.792","26.671","26.303","25.328"
"00:03:52","25.961","26.760","26.079","25.663","26.793","26.675","26.300","25.336"
"00:03:53","25.965","26.752","26.075","25.660","26.789","26.664","26.304","25.336"
"00:03:54","25.961","26.756","26.072","25.645","26.775","26.657","26.300","25.332"
"00:03:55","25.951","26.749","26.068","25.649","26.775","26.657","26.285","25.347"
"00:03:56","25.951","26.735","26.058","25.642","26.771","26.650","26.293","25.344"
"00:03:57","25.951","26.738","26.054","25.649","26.768","26.654","26.297","25.344"
"00:03:58","25.955","26.749","26.050","25.660","26.764","26.646","26.297","25.351"
