"","Channel 1 - Internal Ambient Last (C)","Channel 2 - External Ambient Last (C)","Channel 3 - Jetson Area Aluminum Panel Last (C)","Channel 4 - Jetson Area Display Panel Last (C)","Channel 5 - Touch Panel Board MCU Last (C)","Channel 6 - Center Top Aluminum Panel Last (C)","Channel 7 - Center Top Display Panel Last (C)","Channel 8 - Center Top Touch Screen Last (C)","Channel 9 - Jetson Area Touchscreen Last (C)","Channel 10 - Ambient Between Display and Aluminum Last (C)"
"00:00:00","27.088","25.977","27.757","27.364","27.161","27.577","27.765","27.640","27.382","27.767"
"00:00:01","27.095","25.962","27.761","27.364","27.154","27.574","27.761","27.647","27.378","27.760"
"00:00:02","27.066","26.002","27.757","27.360","27.158","27.574","27.769","27.636","27.362","27.750"
"00:00:03","27.062","26.039","27.761","27.360","27.161","27.577","27.757","27.640","27.362","27.759"
"00:00:04","27.051","26.072","27.757","27.356","27.147","27.574","27.754","27.632","27.363","27.758"
"00:00:05","27.032","26.127","27.754","27.360","27.154","27.581","27.754","27.632","27.363","27.760"
"00:00:06","27.021","26.175","27.761","27.360","27.158","27.573","27.754","27.632","27.362","27.756"
"00:00:07","27.014","26.216","27.746","27.345","27.150","27.577","27.754","27.632","27.365","27.759"
"00:00:08","27.044","26.260","27.754","27.353","27.158","27.581","27.746","27.625","27.352","27.746"
"00:00:09","27.062","26.293","27.750","27.360","27.157","27.588","27.761","27.632","27.352","27.747"
"00:00:10","27.077","26.322","27.746","27.364","27.154","27.581","27.761","27.625","27.358","27.753"
"00:00:11","27.091","26.348","27.757","27.356","27.154","27.581","27.757","27.617","27.366","27.762"
"00:00:12","27.110","26.344","27.750","27.356","27.150","27.581","27.746","27.606","27.370","27.761"
"00:00:13","27.113","26.352","27.746","27.349","27.154","27.573","27.739","27.610","27.370","27.762"
"00:00:14","27.161","26.370","27.735","27.341","27.150","27.570","27.739","27.603","27.375","27.761"
"00:00:15","27.139","26.359","27.739","27.341","27.139","27.562","27.731","27.603","27.371","27.762"
"00:00:16","27.132","26.374","27.742","27.345","27.150","27.573","27.746","27.610","27.368","27.755"
"00:00:17","27.120","26.403","27.746","27.349","27.150","27.569","27.750","27.610","27.364","27.753"
"00:00:18","27.102","26.425","27.742","27.341","27.146","27.566","27.739","27.606","27.368","27.751"
"00:00:19","27.087","26.432","27.728","27.334","27.143","27.558","27.735","27.599","27.378","27.764"
"00:00:20","27.087","26.440","27.731","27.334","27.135","27.566","27.739","27.602","27.378","27.759"
"00:00:21","27.076","26.432","27.735","27.334","27.135","27.551","27.731","27.606","27.373","27.746"
"00:00:22","27.069","26.425","27.728","27.330","27.143","27.558","27.731","27.610","27.369","27.744"
"00:00:23","27.051","26.407","27.735","27.338","27.150","27.566","27.739","27.621","27.366","27.749"
"00:00:24","27.069","26.399","27.746","27.348","27.153","27.569","27.738","27.606","27.371","27.753"
"00:00:25","27.065","26.377","27.742","27.341","27.153","27.569","27.735","27.610","27.374","27.757"
"00:00:26","27.065","26.384","27.742","27.345","27.153","27.569","27.749","27.613","27.366","27.750"
"00:00:27","27.032","26.373","27.742","27.348","27.150","27.565","27.749","27.606","27.370","27.752"
"00:00:28","26.999","26.384","27.742","27.341","27.146","27.562","27.731","27.599","27.370","27.750"
"00:00:29","26.988","26.388","27.727","27.337","27.142","27.558","27.742","27.602","27.365","27.740"
"00:00:30","27.006","26.399","27.735","27.341","27.135","27.558","27.738","27.606","27.362","27.748"
"00:00:31","27.010","26.406","27.735","27.337","27.135","27.554","27.731","27.602","27.363","27.740"
"00:00:32","27.021","26.428","27.727","27.337","27.138","27.543","27.731","27.598","27.366","27.743"
"00:00:33","26.991","26.417","27.727","27.330","27.135","27.539","27.723","27.598","27.358","27.739"
"00:00:34","26.984","26.443","27.723","27.326","27.131","27.543","27.723","27.606","27.366","27.742"
"00:00:35","26.958","26.447","27.727","27.326","27.124","27.540","27.720","27.602","27.365","27.742"
"00:00:36","26.958","26.480","27.720","27.326","27.127","27.551","27.716","27.602","27.370","27.741"
"00:00:37","26.962","26.506","27.727","27.333","27.135","27.551","27.727","27.602","27.375","27.744"
"00:00:38","26.977","26.502","27.727","27.326","27.120","27.551","27.723","27.595","27.377","27.737"
"00:00:39","26.988","26.513","27.716","27.326","27.120","27.540","27.716","27.580","27.372","27.740"
"00:00:40","26.977","26.509","27.712","27.315","27.120","27.532","27.712","27.580","27.371","27.742"
"00:00:41","26.955","26.520","27.709","27.315","27.116","27.540","27.705","27.584","27.366","27.737"
"00:00:42","26.965","26.528","27.727","27.326","27.127","27.554","27.716","27.584","27.370","27.731"
"00:00:43","26.977","26.524","27.720","27.315","27.131","27.551","27.712","27.595","27.361","27.731"
"00:00:44","26.991","26.513","27.734","27.330","27.131","27.550","27.720","27.598","27.366","27.734"
"00:00:45","27.002","26.513","27.727","27.326","27.135","27.543","27.716","27.602","27.364","27.723"
"00:00:46","26.995","26.487","27.716","27.311","27.124","27.543","27.712","27.595","27.356","27.727"
"00:00:47","26.999","26.476","27.716","27.319","27.120","27.536","27.712","27.587","27.354","27.719"
"00:00:48","26.999","26.443","27.716","27.319","27.124","27.543","27.712","27.587","27.353","27.723"
"00:00:49","26.991","26.443","27.723","27.315","27.131","27.543","27.720","27.591","27.355","27.722"
"00:00:50","26.980","26.340","27.720","27.322","27.127","27.536","27.716","27.595","27.357","27.727"
"00:00:51","26.987","26.329","27.708","27.315","27.120","27.539","27.712","27.591","27.358","27.726"
"00:00:52","26.987","26.303","27.708","27.315","27.120","27.532","27.712","27.587","27.355","27.723"
"00:00:53","26.980","26.274","27.705","27.311","27.116","27.525","27.698","27.587","27.351","27.725"
"00:00:54","26.969","26.233","27.708","27.311","27.123","27.528","27.708","27.587","27.350","27.723"
"00:00:55","26.962","26.207","27.716","27.315","27.131","27.539","27.709","27.595","27.350","27.718"
"00:00:56","26.947","26.174","27.708","27.322","27.120","27.528","27.712","27.587","27.348","27.715"
"00:00:57","26.969","26.156","27.709","27.311","27.120","27.528","27.701","27.591","27.350","27.720"
"00:00:58","26.973","26.152","27.712","27.315","27.123","27.539","27.708","27.598","27.341","27.717"
"00:00:59","26.954","26.104","27.705","27.304","27.112","27.528","27.694","27.587","27.359","27.719"
"00:01:00","26.980","26.090","27.705","27.304","27.116","27.528","27.701","27.583","27.352","27.719"
"00:01:01","26.995","26.075","27.705","27.311","27.116","27.539","27.694","27.657","27.418","27.719"
"00:01:02","26.991","26.071","27.686","27.296","27.109","27.539","27.697","27.580","27.376","27.739"
"00:01:03","27.002","26.042","27.694","27.293","27.116","27.524","27.708","27.591","26.947","27.704"
"00:01:04","27.024","26.042","27.694","27.289","27.112","27.524","27.697","27.579","26.875","27.710"
"00:01:05","26.947","26.027","27.705","27.304","27.116","27.524","27.686","27.572","26.819","27.713"
"00:01:06","26.910","25.975","27.705","27.304","27.112","27.535","27.694","27.580","26.761","27.710"
"00:01:07","26.928","25.975","27.708","27.307","27.116","27.528","27.705","27.587","26.707","27.711"
"00:01:08","26.991","26.078","27.690","27.300","27.112","27.521","27.697","27.572","26.657","27.706"
"00:01:09","27.009","26.159","27.690","27.296","27.112","27.517","27.686","27.565","26.623","27.703"
"00:01:10","26.994","26.207","27.701","27.304","27.116","27.524","27.701","27.579","26.595","27.697"
"00:01:11","27.006","26.244","27.697","27.296","27.105","27.524","27.690","27.572","26.563","27.697"
"00:01:12","27.013","26.277","27.697","27.300","27.112","27.521","27.694","27.576","26.544","27.700"
"00:01:13","27.042","26.307","27.694","27.293","27.109","27.521","27.686","27.572","26.550","27.700"
"00:01:14","27.072","26.340","27.694","27.296","27.101","27.524","27.690","27.579","26.539","27.700"
"00:01:15","27.090","26.373","27.686","27.292","27.101","27.517","27.679","27.572","26.539","27.706"
"00:01:16","27.109","26.409","27.690","27.292","27.109","27.521","27.682","27.576","26.512","27.691"
"00:01:17","27.131","26.454","27.690","27.300","27.105","27.524","27.694","27.568","26.493","27.695"
"00:01:18","27.127","26.479","27.690","27.300","27.101","27.517","27.686","27.572","26.471","27.693"
"00:01:19","27.105","26.491","27.683","27.285","27.105","27.521","27.683","27.569","26.449","27.693"
"00:01:20","27.046","26.509","27.690","27.292","27.105","27.517","27.686","27.576","26.426","27.702"
"00:01:21","26.998","26.512","27.694","27.292","27.112","27.524","27.682","27.576","26.393","27.697"
"00:01:22","27.006","26.535","27.694","27.304","27.112","27.532","27.690","27.576","26.385","27.698"
"00:01:23","26.987","26.535","27.694","27.300","27.112","27.535","27.686","27.576","26.375","27.689"
"00:01:24","26.972","26.538","27.686","27.292","27.105","27.517","27.686","27.576","26.379","27.687"
"00:01:25","26.972","26.542","27.682","27.285","27.112","27.510","27.679","27.579","26.373","27.691"
"00:01:26","26.932","26.564","27.686","27.289","27.105","27.510","27.682","27.572","26.363","27.690"
"00:01:27","26.936","26.564","27.682","27.289","27.109","27.517","27.675","27.587","26.366","27.689"
"00:01:28","26.939","26.568","27.682","27.292","27.101","27.517","27.675","27.576","26.368","27.692"
"00:01:29","26.925","26.575","27.686","27.289","27.109","27.506","27.679","27.583","26.361","27.684"
"00:01:30","26.936","26.520","27.690","27.285","27.094","27.513","27.679","27.576","26.354","27.687"
"00:01:31","26.939","26.443","27.679","27.285","27.101","27.502","27.671","27.568","26.339","27.674"
"00:01:32","26.954","26.376","27.686","27.285","27.101","27.510","27.682","27.572","26.326","27.709"
"00:01:33","26.961","26.409","27.682","27.270","27.105","27.502","27.660","27.565","26.299","27.653"
"00:01:34","26.965","26.354","27.679","27.281","27.079","27.506","27.668","27.561","26.279","27.673"
"00:01:35","26.910","26.097","27.683","27.289","27.105","27.510","27.679","27.543","26.253","27.670"
"00:01:36","26.844","26.042","27.690","27.278","27.109","27.506","27.675","27.539","26.253","27.680"
"00:01:37","26.914","26.016","27.671","27.278","27.109","27.502","27.660","27.532","26.255","27.672"
"00:01:38","26.906","26.027","27.653","27.263","27.105","27.473","27.649","27.521","26.255","27.663"
"00:01:39","26.895","26.031","27.642","27.263","27.105","27.484","27.646","27.524","26.231","27.662"
"00:01:40","26.936","26.056","27.668","27.259","27.145","27.539","27.642","27.521","26.203","27.652"
"00:01:41","26.987","26.082","27.661","27.241","27.164","27.513","27.653","27.539","26.204","27.656"
"00:01:42","27.046","26.111","27.671","27.274","27.193","27.469","27.664","27.535","26.234","27.665"
"00:01:43","27.086","26.134","27.664","27.292","27.160","27.510","27.653","27.543","26.230","27.666"
"00:01:44","27.142","26.211","27.661","27.278","27.157","27.506","27.653","27.528","26.241","27.661"
"00:01:45","27.153","26.255","27.661","27.274","27.157","27.506","27.657","27.524","26.236","27.666"
"00:01:46","27.131","26.299","27.679","27.285","27.142","27.528","27.660","27.528","26.247","27.666"
"00:01:47","27.142","26.347","27.694","27.289","27.167","27.543","27.660","27.524","26.243","27.662"
"00:01:48","27.142","26.391","27.679","27.274","27.145","27.580","27.664","27.528","26.251","27.672"
"00:01:49","27.167","26.406","27.675","27.274","27.153","27.524","27.671","27.524","26.238","27.663"
"00:01:50","27.138","26.373","27.672","27.285","27.153","27.524","27.664","27.532","26.209","27.674"
"00:01:51","27.013","26.362","27.686","27.281","27.171","27.532","27.664","27.521","26.186","27.668"
"00:01:52","26.973","26.406","27.646","27.271","27.145","27.554","27.672","27.517","26.201","27.667"
"00:01:53","27.042","26.292","27.668","27.270","27.134","27.524","27.668","27.513","26.203","27.659"
"00:01:54","27.086","26.273","27.664","27.267","27.134","27.528","27.657","27.510","26.212","27.654"
