,Channel 1 - Internal Ambient Last (C),Channel 2 - External Ambient Last (C),Channel 3 - Jetson TX2 Processor Last (C),Channel 4 - Jetson Heat Sink Last (C),Channel 5 - Touch Panel Board Last (C),Channel 6 - Aluminum Panel Last (C),Channel 7 - Audio Driver Last (C),Channel 8 - External Touch Screen Last (C)
0:00:00,33.15,25.29,33.09,31.68,33.21,29.71,33.23,27.98
0:00:01,33.54,28.27,29.1,32.07,34.38,29.75,31.53,29.86
0:00:02,32.49,34.21,24.16,28.94,41.53,29.4,30.67,29.98
0:00:03,32.69,35.14,24.43,29.14,41.35,29.62,30.76,30.11
0:00:04,32.66,34.78,24.31,29.03,41.02,29.45,30.72,29.98
0:00:05,32.61,35.37,23.63,28.84,41.13,29.44,30.81,30.09
0:00:06,32.57,35.27,24.11,28.85,41.15,29.41,30.3,30.09
0:00:07,32.64,35.29,24.16,28.24,40.93,29.33,30.93,30.02
0:00:08,32.52,35.38,24.21,28.88,42.29,29.18,30.99,30.08
0:00:09,32.66,36.23,24.2,29.07,41.68,29.1,30.84,30.15
0:00:10,32.65,35.04,24.27,29.13,41.82,29.1,30.73,30.08
0:00:11,32.61,35.04,24.2,29.12,41.87,29.05,30.92,30.05
0:00:12,32.67,34.9,24.05,29.15,42.12,29.08,31.4,30.13
0:00:13,32.61,35.01,24.02,28.87,41.83,29.15,31.26,30.07
0:00:14,32.36,35.03,24.11,28.98,42.21,29.14,31.29,30.16
0:00:15,32.74,35.37,23.98,28.91,42.44,29.14,30.75,30.13
0:00:16,32.73,35.55,23.95,28.87,42.95,29.12,31.03,29.97
0:00:17,32.69,35.27,23.92,28.89,43.03,29.06,31.13,30.05
0:00:18,32.65,35.12,24.04,28.78,43.31,29.21,31.82,29.97
0:00:19,32.73,35.33,24.22,29.32,43.67,29.17,31.47,30.1
0:00:20,32.95,35.28,24.37,28.75,43.58,29.3,31.48,30.18
0:00:21,32.67,35.25,24.39,28.81,43.69,29.24,31.21,30.03
0:00:22,32.62,34.77,24.7,28.5,44.53,29.36,31.48,30.13
0:00:23,32.7,35.32,24.69,28.57,44.57,29.39,31.54,30.11
0:00:24,32.49,34.86,24.72,28.55,44.56,29.31,31.64,30.05
0:00:25,32.66,34.92,25.01,28.58,44.7,29.49,31.77,30.07
0:00:26,32.73,35.41,25.06,28.58,45.2,29.44,31.77,30.03
0:00:27,32.38,35.1,25.37,28.8,45.29,29.46,31.97,29.87
0:00:28,32.2,35.2,25.36,28.29,45.86,29.35,31.21,29.89
0:00:29,32.08,35.85,25.67,28.1,46.31,29.37,31.24,29.9
0:00:30,32.14,35.64,26.11,28.37,46.28,29.32,31.52,29.92
0:00:31,32.21,35.85,26,28.44,46.52,29.45,31.64,30.02
0:00:32,32.2,35.7,26.15,28.6,46.9,29.45,31.76,30
0:00:33,32.27,36.16,26.39,28.55,46.92,29.39,31.78,30.02
0:00:34,32.36,36.06,26.3,28.53,47.14,29.43,31.84,30.12
0:00:35,32.26,36.39,26.48,28.86,47.68,29.39,31.69,30.05
0:00:36,32.3,36.62,26.53,28.76,47.75,29.29,31.86,30.11
0:00:37,32.3,36.15,26.82,29.08,47.69,29.26,32.07,30
0:00:38,32.3,36.29,26.86,29.1,47.98,29.26,31.91,30.19
0:00:39,32.36,36.35,26.72,29.09,47.94,29.1,31.92,30.1
0:00:40,32.33,36.46,27,29.05,48.22,29.32,31.95,30.27
0:00:41,32.42,36.37,26.94,29.09,48.14,29.27,31.94,30.18
