"","Channel 1 - Internal Ambient Last (C)","Channel 2 - External Ambient Last (C)","Channel 3 - Jetson Processor Last (C)","Channel 4 - Jetson Heatsink Last (C)","Channel 5 - Display Cable Last (C)","Channel 6 - Touch Panel Board Last (C)","Channel 7 - Aluminum Panel - Upper Right Side Last (C)","Channel 8 - Display Panel - Upper Right Side Last (C)","Channel 9 - Coverglass - Upper Right Side Last (C)","Channel 10 - Aluminum Panel - Lower Left Side Last (C)","Channel 11 - Display Panel - Lower Left Side Last (C)","Channel 12 - Coverglass - Lower Left Side Last (C)","Channel 13 - Ambient Between Aluminum and Display Last (C)"
"00:00:00","24.506","22.840","27.476","26.799","24.142","34.601","24.782","24.411","24.013","24.624","24.009","23.626","24.510"
"00:00:01","24.514","22.773","27.457","26.891","24.142","34.732","24.768","24.422","24.015","24.633","24.017","23.628","24.513"
"00:00:02","24.525","22.575","27.446","26.979","24.153","34.867","24.771","24.433","24.005","24.627","24.020","23.630","24.521"
"00:00:03","24.514","23.178","27.409","27.045","24.168","34.998","24.768","24.436","23.998","24.638","24.035","23.641","24.517"
"00:00:04","24.532","22.821","27.383","27.159","24.193","35.249","24.764","24.473","24.003","24.629","24.042","23.639","24.537"
"00:00:05","24.525","22.703","27.365","27.203","24.205","35.373","24.771","24.488","23.998","24.638","24.061","23.637","24.539"
"00:00:06","24.536","22.700","27.376","27.273","24.230","35.515","24.767","24.499","23.998","24.634","24.079","23.641","24.561"
"00:00:07","24.539","22.545","27.365","27.317","24.234","35.617","24.771","24.521","23.994","24.629","24.086","23.637","24.559"
"00:00:08","24.543","22.663","27.361","27.361","24.245","35.723","24.767","24.539","23.987","24.616","24.108","23.641","24.568"
"00:00:09","24.547","22.494","27.365","27.405","24.263","35.840","24.760","24.547","23.994","24.620","24.123","23.630","24.579"
"00:00:10","24.543","22.527","27.380","27.446","24.274","35.945","24.760","24.565","24.000","24.625","24.145","23.632","24.588"
"00:00:11","24.554","22.762","27.420","27.505","24.285","36.054","24.760","24.583","24.001","24.623","24.163","23.637","24.601"
"00:00:12","24.543","22.545","27.431","27.538","24.289","36.156","24.756","24.594","24.005","24.616","24.181","23.630","24.612"
"00:00:13","24.557","22.663","27.585","27.670","24.300","36.360","24.756","24.616","24.003","24.614","24.194","23.630","24.627"
"00:00:14","24.565","22.766","27.703","27.751","24.318","36.459","24.749","24.627","24.020","24.623","24.207","23.630","24.627"
"00:00:15","24.565","22.762","27.795","27.825","24.326","36.550","24.749","24.624","24.019","24.619","24.214","23.629","24.645"
"00:00:16","24.568","22.468","27.825","27.887","24.329","36.652","24.756","24.638","24.025","24.625","24.227","23.641","24.643"
"00:00:17","24.580","22.674","27.839","27.946","24.340","36.743","24.760","24.638","24.030","24.619","24.237","23.640","24.645"
"00:00:18","24.583","22.777","27.839","27.986","24.333","36.830","24.752","24.638","24.038","24.627","24.240","23.648","24.656"
