,Channel 1 - Internal Ambient Last (C),Channel 2 - External Ambient Last (C),Channel 3 - Jetson TX2 Processor Last (C),Channel 4 - Jetson Heat Sink Last (C),Channel 5 - Touch Panel Board Last (C),Channel 6 - Aluminum Panel Last (C),Channel 7 - Audio Driver Last (C),Channel 8 - External Touch Screen Last (C)
0:00:00,31.46,24.35,43.54,37.9,48.23,34.89,35.63,31.19
0:00:01,31.47,24.35,43.56,37.92,48.24,34.9,35.64,31.19
0:00:02,31.47,24.36,43.58,37.93,48.25,34.91,35.65,31.2
0:00:03,31.49,24.37,43.59,37.94,48.27,34.93,35.67,31.21
0:00:04,31.5,24.39,43.61,37.97,48.29,34.94,35.68,31.22
0:00:05,31.51,24.38,43.63,37.98,48.3,34.96,35.7,31.23
0:00:06,31.52,24.38,43.65,38,48.31,34.98,35.7,31.25
0:00:07,31.54,24.38,43.68,38.02,48.33,35,35.71,31.26
0:00:08,31.55,24.37,43.7,38.03,48.35,35.01,35.73,31.28
0:00:09,31.56,24.35,43.72,38.06,48.36,35.03,35.75,31.31
0:00:10,31.57,24.35,43.75,38.06,48.38,35.05,35.76,31.32
0:00:11,31.59,24.35,43.76,38.08,48.4,35.06,35.77,31.33
0:00:12,31.58,24.34,43.77,38.1,48.42,35.08,35.78,31.35
0:00:13,31.6,24.34,43.8,38.12,48.44,35.1,35.79,31.37
0:00:14,31.61,24.32,43.8,38.12,48.43,35.1,35.8,31.38
0:00:15,31.61,24.32,43.82,38.13,48.44,35.11,35.81,31.39
0:00:16,31.62,24.32,43.84,38.15,48.46,35.13,35.82,31.41
0:00:17,31.65,24.32,43.87,38.16,48.47,35.14,35.83,31.42
0:00:18,31.66,24.31,43.9,38.21,48.51,35.18,35.87,31.47
0:00:19,31.67,24.29,43.91,38.22,48.52,35.19,35.87,31.49
0:00:20,31.68,24.3,43.94,38.23,48.54,35.21,35.88,31.5
0:00:21,31.7,24.28,43.96,38.25,48.55,35.23,35.9,31.52
0:00:22,31.71,24.29,43.98,38.27,48.56,35.24,35.92,31.54
0:00:23,31.72,24.29,44,38.28,48.58,35.26,35.93,31.55
0:00:24,31.72,24.28,44.01,38.28,48.59,35.27,35.93,31.56
0:00:25,31.74,24.28,44.03,38.31,48.61,35.28,35.95,31.58
0:00:26,31.75,24.26,44.04,38.32,48.61,35.29,35.95,31.59
0:00:27,31.76,24.25,44.07,38.34,48.64,35.31,35.97,31.61
0:00:28,31.76,24.24,44.09,38.35,48.65,35.33,35.98,31.62
0:00:29,31.78,24.24,44.11,38.37,48.67,35.35,36,31.65
0:00:30,31.79,24.23,44.13,38.38,48.68,35.37,36.01,31.65
0:00:31,31.8,24.23,44.14,38.4,48.69,35.38,36.02,31.66
0:00:32,31.82,24.23,44.17,38.42,48.71,35.4,36.04,31.68
0:00:33,31.82,24.22,44.18,38.42,48.72,35.4,36.03,31.69
0:00:34,31.83,24.22,44.2,38.44,48.73,35.41,36.06,31.71
0:00:35,31.84,24.22,44.22,38.45,48.75,35.43,36.07,31.71
0:00:36,31.87,24.21,44.25,38.49,48.78,35.46,36.09,31.76
0:00:37,31.88,24.22,44.27,38.51,48.79,35.48,36.1,31.76
0:00:38,31.89,24.21,44.3,38.52,48.81,35.49,36.11,31.76
0:00:39,31.9,24.21,44.31,38.53,48.82,35.5,36.13,31.78
0:00:40,31.9,24.21,44.32,38.55,48.84,35.52,36.14,31.79
0:00:41,31.93,24.21,44.35,38.56,48.85,35.54,36.16,31.81
0:00:42,31.94,24.21,44.36,38.57,48.86,35.54,36.16,31.82
0:00:43,31.95,24.22,44.38,38.59,48.88,35.55,36.17,31.82
0:00:44,31.96,24.21,44.39,38.59,48.89,35.57,36.19,31.84
0:00:45,31.96,24.21,44.43,38.62,48.91,35.59,36.2,31.85
0:00:46,31.97,24.21,44.44,38.62,48.92,35.6,36.21,31.86
0:00:47,31.99,24.22,44.46,38.65,48.93,35.62,36.23,31.87
0:00:48,32.01,24.22,44.48,38.66,48.96,35.63,36.24,31.88
0:00:49,32.02,24.21,44.5,38.68,48.97,35.64,36.25,31.89
0:00:50,32.03,24.22,44.52,38.69,48.97,35.66,36.26,31.91
0:00:51,32.04,24.22,44.54,38.69,48.99,35.68,36.28,31.92
0:00:52,32.04,24.22,44.55,38.7,48.99,35.68,36.29,31.93
0:00:53,32.05,24.22,44.57,38.73,49.02,35.7,36.29,31.94
0:00:54,32.07,24.23,44.6,38.75,49.03,35.71,36.31,31.96
0:00:55,32.08,24.22,44.61,38.76,49.05,35.73,36.32,31.97
0:00:56,32.09,24.22,44.63,38.77,49.06,35.76,36.33,31.99
0:00:57,32.09,24.2,44.65,38.78,49.06,35.76,36.35,31.99
0:00:58,32.1,24.2,44.65,38.79,49.07,35.77,36.35,31.99
0:00:59,32.11,24.19,44.68,38.8,49.09,35.78,36.36,32
0:01:00,32.12,24.19,44.69,38.81,49.1,35.79,36.37,32.01
0:01:01,32.14,24.18,44.72,38.83,49.12,35.81,36.39,32.03
0:01:02,32.15,24.18,44.73,38.84,49.13,35.83,36.4,32.04
0:01:03,32.16,24.17,44.77,38.85,49.15,35.85,36.42,32.06
0:01:04,32.18,24.16,44.78,38.87,49.16,35.87,36.43,32.07
0:01:05,32.19,24.15,44.8,38.88,49.17,35.87,36.44,32.07
0:01:06,32.21,24.16,44.82,38.9,49.18,35.89,36.46,32.08
0:01:07,32.21,24.15,44.83,38.91,49.2,35.91,36.46,32.09
0:01:08,32.22,24.15,44.85,38.92,49.2,35.92,36.48,32.1
0:01:09,32.23,24.15,44.86,38.93,49.22,35.93,36.48,32.1
0:01:10,32.23,24.13,44.88,38.94,49.22,35.94,36.48,32.1
0:01:11,32.24,24.13,44.89,38.94,49.23,35.95,36.5,32.11
0:01:12,32.28,24.15,44.94,38.98,49.27,35.99,36.53,32.13
0:01:13,32.28,24.14,44.95,38.98,49.27,36,36.54,32.15
0:01:14,32.29,24.16,44.96,39,49.29,36.01,36.55,32.16
0:01:15,32.31,24.17,44.99,39.01,49.3,36.03,36.57,32.18
0:01:16,32.32,24.16,45,39.02,49.3,36.03,36.57,32.18
0:01:17,32.32,24.15,45.01,39.02,49.32,36.05,36.59,32.2
0:01:18,32.33,24.17,45.03,39.04,49.33,36.06,36.59,32.2
0:01:19,32.34,24.17,45.04,39.04,49.33,36.07,36.59,32.19
0:01:20,32.35,24.17,45.06,39.05,49.34,36.08,36.61,32.18
0:01:21,32.37,24.18,45.09,39.08,49.38,36.11,36.63,32.21
0:01:22,32.38,24.18,45.11,39.08,49.37,36.11,36.64,32.21
0:01:23,32.39,24.18,45.11,39.09,49.39,36.12,36.64,32.21
0:01:24,32.4,24.2,45.13,39.1,49.4,36.13,36.66,32.22
0:01:25,32.41,24.19,45.14,39.11,49.4,36.13,36.66,32.22
0:01:26,32.4,24.19,45.17,39.13,49.43,36.16,36.68,32.24
0:01:27,32.43,24.2,45.19,39.13,49.44,36.16,36.7,32.24
0:01:28,32.43,24.2,45.2,39.14,49.44,36.17,36.7,32.25
0:01:29,32.43,24.18,45.21,39.15,49.45,36.17,36.7,32.25
0:01:30,32.46,24.19,45.24,39.18,49.47,36.2,36.73,32.29
0:01:31,32.46,24.17,45.27,39.19,49.49,36.21,36.74,32.3
0:01:32,32.47,24.17,45.28,39.2,49.5,36.22,36.76,32.32
0:01:33,32.49,24.18,45.3,39.21,49.51,36.25,36.77,32.34
0:01:34,32.5,24.17,45.31,39.23,49.53,36.25,36.78,32.35
0:01:35,32.51,24.15,45.33,39.24,49.54,36.26,36.79,32.35
0:01:36,32.52,24.14,45.34,39.25,49.54,36.26,36.79,32.37
0:01:37,32.53,24.14,45.37,39.27,49.56,36.28,36.81,32.38
0:01:38,32.54,24.14,45.38,39.28,49.57,36.29,36.81,32.38
0:01:39,32.56,24.12,45.41,39.3,49.59,36.33,36.84,32.4
0:01:40,32.57,24.11,45.42,39.31,49.61,36.32,36.84,32.41
0:01:41,32.57,24.11,45.43,39.32,49.61,36.32,36.86,32.42
0:01:42,32.59,24.11,45.45,39.32,49.62,36.35,36.86,32.43
0:01:43,32.59,24.11,45.47,39.33,49.62,36.36,36.87,32.43
0:01:44,32.6,24.12,45.48,39.35,49.63,36.36,36.89,32.45
0:01:45,32.62,24.12,45.5,39.36,49.66,36.39,36.92,32.48
0:01:46,32.63,24.12,45.52,39.37,49.67,36.41,36.93,32.49
0:01:47,32.65,24.12,45.53,39.38,49.68,36.41,36.92,32.5
0:01:48,32.65,24.13,45.56,39.39,49.7,36.44,36.94,32.52
0:01:49,32.66,24.13,45.59,39.39,49.7,36.45,36.95,32.53
0:01:50,32.61,24.12,45.59,39.38,49.67,36.46,36.96,32.54
0:01:51,32.55,24.13,45.58,39.41,49.65,36.49,36.98,32.55
0:01:52,32.49,24.13,45.58,39.38,49.63,36.51,36.98,32.56
0:01:53,32.42,24.12,45.56,39.36,49.61,36.53,36.99,32.57
0:01:54,32.4,24.16,45.54,39.34,49.59,36.56,36.99,32.59
0:01:55,32.36,24.15,45.49,39.29,49.58,36.57,37.01,32.59
0:01:56,32.32,24.15,45.45,39.26,49.56,36.6,37.01,32.61
0:01:57,32.23,24.14,45.33,39.2,49.54,36.62,37.01,32.62
0:01:58,32.19,24.13,45.28,39.16,49.53,36.63,37.02,32.63
0:01:59,32.16,24.14,45.22,39.14,49.54,36.65,37.03,32.65
0:02:00,32.11,24.15,45.17,39.11,49.56,36.66,37.04,32.67
0:02:01,32.07,24.15,45.1,39.08,49.57,36.68,37.05,32.68
0:02:02,32.02,24.15,45.04,39.05,49.57,36.69,37.06,32.69
0:02:03,32,24.16,44.98,39.02,49.59,36.72,37.07,32.7
0:02:04,31.99,24.16,44.92,38.98,49.6,36.74,37.07,32.71
0:02:05,31.94,24.16,44.85,38.93,49.6,36.75,37.09,32.73
0:02:06,31.88,24.15,44.71,38.85,49.62,36.79,37.1,32.75
0:02:07,31.86,24.17,44.64,38.82,49.65,36.83,37.11,32.76
0:02:08,31.83,24.16,44.58,38.79,49.65,36.84,37.11,32.77
0:02:09,31.81,24.17,44.5,38.76,49.68,36.87,37.13,32.78
0:02:10,31.81,24.16,44.45,38.71,49.7,36.91,37.13,32.8
0:02:11,31.78,24.17,44.38,38.65,49.71,36.93,37.14,32.8
0:02:12,31.77,24.16,44.32,38.61,49.73,36.93,37.14,32.82
