"","Channel 1 - ToF Ambient Ave. (C)"
"00:00:00","31.143"
"00:00:01","31.141"
"00:00:02","31.146"
"00:00:03","31.146"
"00:00:04","31.142"
"00:00:05","31.139"
"00:00:06","31.139"
"00:00:07","31.138"
"00:00:08","31.138"
"00:00:09","31.139"
"00:00:10","31.137"
"00:00:11","31.141"
"00:00:12","31.141"
"00:00:13","31.146"
"00:00:14","31.144"
"00:00:15","31.144"
"00:00:16","31.139"
"00:00:17","31.139"
"00:00:18","31.138"
"00:00:19","31.138"
"00:00:20","31.131"
"00:00:21","31.133"
"00:00:22","31.130"
"00:00:23","31.133"
"00:00:24","31.138"
"00:00:25","31.130"
"00:00:26","31.129"
"00:00:27","31.131"
"00:00:28","31.134"
"00:00:29","31.125"
"00:00:30","31.123"
"00:00:31","31.121"
"00:00:32","31.124"
"00:00:33","31.127"
"00:00:34","31.134"
"00:00:35","31.129"
"00:00:36","31.129"
"00:00:37","31.123"
"00:00:38","31.126"
"00:00:39","31.122"
"00:00:40","31.126"
"00:00:41","31.132"
"00:00:42","31.128"
"00:00:43","31.134"
"00:00:44","31.129"
"00:00:45","31.131"
"00:00:46","31.132"
"00:00:47","31.134"
"00:00:48","31.129"
"00:00:49","31.134"
"00:00:50","31.134"
"00:00:51","31.133"
"00:00:52","31.141"
"00:00:53","31.138"
"00:00:54","31.136"
"00:00:55","31.135"
"00:00:56","31.128"
"00:00:57","31.127"
"00:00:58","31.130"
"00:00:59","31.126"
"00:01:00","31.121"
"00:01:01","31.128"
"00:01:02","31.131"
"00:01:03","31.126"
"00:01:04","31.121"
"00:01:05","31.124"
"00:01:06","31.125"
"00:01:07","31.123"
"00:01:08","31.121"
"00:01:09","31.113"
"00:01:10","31.113"
"00:01:11","31.117"
"00:01:12","31.117"
"00:01:13","31.116"
"00:01:14","31.120"
"00:01:15","31.116"
"00:01:16","31.117"
"00:01:17","31.123"
"00:01:18","31.117"
"00:01:19","31.122"
"00:01:20","31.121"
"00:01:21","31.128"
"00:01:22","31.126"
"00:01:23","31.127"
"00:01:24","31.128"
"00:01:25","31.123"
"00:01:26","31.127"
"00:01:27","31.125"
"00:01:28","31.127"
"00:01:29","31.128"
"00:01:30","31.123"
"00:01:31","31.122"
"00:01:32","31.126"
"00:01:33","31.123"
"00:01:34","31.122"
"00:01:35","31.119"
"00:01:36","31.124"
"00:01:37","31.127"
"00:01:38","31.127"
"00:01:39","31.125"
"00:01:40","31.121"
"00:01:41","31.121"
"00:01:42","31.125"
"00:01:43","31.123"
"00:01:44","31.127"
"00:01:45","31.123"
"00:01:46","31.121"
