"","Channel 1 - Elbow Last (C)","Channel 2 - Forearm Last (C)","Channel 3 - Knuckle Last (C)","Channel 4 - Blade of Hand Last (C)","Channel 5 - Thumb Last (C)","Channel 6 - Cupping Last (C)","Channel 7 - Palm Last (C)","Channel 8 - Elbow (lower) Last (C)"
"1691595869","21.479","21.567","21.711","22.038","22.266","22.399","22.156","21.946"
"1691595870","21.472","21.575","21.715","22.035","22.263","22.406","22.164","21.947"
"1691595871","21.487","21.572","21.708","22.039","22.267","22.399","22.153","21.951"
"1691595872","21.480","21.557","21.708","22.024","22.241","22.374","22.142","21.936"
"1691595873","21.473","21.561","21.697","22.017","22.220","22.411","22.135","21.929"
"1691595874","21.466","21.550","21.701","22.018","22.231","22.364","22.139","21.922"
"1691595875","21.463","21.558","21.702","22.018","22.254","22.372","22.132","21.912"
"1691595876","21.467","21.548","21.702","22.019","22.247","22.361","22.133","21.897"
"1691595877","21.456","21.555","21.695","22.015","22.262","22.357","22.122","21.905"
"1691595878","21.464","21.545","21.684","22.012","22.269","22.361","22.111","21.890"
"1691595879","21.457","21.541","21.696","22.016","22.277","22.373","22.100","21.891"
"1691595880","21.453","21.538","21.692","22.001","22.266","22.360","22.090","21.865"
"1691595881","21.442","21.531","21.685","22.009","22.270","22.359","22.083","21.862"
"1691595882","21.443","21.524","21.678","21.995","22.278","22.351","22.072","21.855"
"1691595883","21.436","21.520","21.678","21.999","22.282","22.355","22.079","21.855"
"1691595884","21.429","21.521","21.697","21.999","22.286","22.367","22.076","21.845"
"1691595885","21.433","21.525","21.686","22.003","22.283","22.360","22.069","21.841"
"1691595886","21.437","21.525","21.687","22.007","22.294","22.364","22.077","21.841"
"1691595887","21.418","21.514","21.683","22.003","22.290","22.357","22.066","21.827"
"1691595888","21.408","21.511","21.669","22.004","22.291","22.357","22.055","21.823"
"1691595889","21.419","21.511","21.673","22.008","22.287","22.359","22.061","21.822"
"1691595890","21.405","21.508","21.681","21.997","22.295","22.357","22.063","21.824"
"1691595891","21.394","21.504","21.673","22.012","22.291","22.361","22.056","21.820"
"1691595892","21.390","21.497","21.674","22.001","22.299","22.354","22.056","21.824"
"1691595893","21.398","21.498","21.659","21.998","22.292","22.355","22.057","21.825"
"1691595894","21.398","21.498","21.667","22.006","22.293","22.351","22.057","21.822"
"1691595895","21.406","21.505","21.671","22.006","22.296","22.348","22.061","21.814"
"1691595896","21.403","21.509","21.679","22.013","22.304","22.356","22.050","21.804"
"1691595897","21.403","21.499","21.675","22.021","22.304","22.315","22.047","21.808"
"1691595898","21.396","21.488","21.668","22.007","22.312","22.363","22.036","21.808"
"1691595899","21.400","21.488","21.672","22.003","22.272","22.338","22.043","21.808"
"1691595900","21.407","21.496","21.676","21.992","22.265","22.301","22.040","21.812"
"1691595901","21.419","21.503","21.680","21.993","22.276","22.316","22.044","21.809"
"1691595902","21.404","21.504","21.677","21.989","22.265","22.328","22.045","21.813"
"1691595903","21.405","21.500","21.658","21.990","22.262","22.324","22.045","21.809"
"1691595904","21.394","21.493","21.662","21.990","22.269","22.343","22.056","21.817"
"1691595905","21.401","21.501","21.670","21.997","22.270","22.343","22.071","21.824"
"1691595906","21.413","21.508","21.670","21.990","22.266","22.340","22.075","21.836"
"1691595907","21.420","21.505","21.674","21.998","22.274","22.336","22.068","21.847"
"1691595908","21.420","21.509","21.674","21.991","22.274","22.344","22.075","21.847"
"1691595909","21.424","21.505","21.678","21.980","22.263","22.351","22.072","21.855"
"1691595910","21.421","21.505","21.667","21.976","22.271","22.352","22.076","21.848"
"1691595911","21.429","21.513","21.668","21.977","22.245","22.356","22.073","21.837"
"1691595912","21.425","21.514","21.664","21.981","22.249","22.367","22.084","21.852"
"1691595913","21.429","21.514","21.668","21.974","22.239","22.364","22.080","21.834"
"1691595914","21.411","21.510","21.665","21.967","22.228","22.349","22.077","21.827"
"1691595915","21.415","21.510","21.654","21.967","22.228","22.349","22.084","21.831"
"1691595916","21.415","21.507","21.662","21.967","22.202","22.361","22.077","21.836"
"1691595917","21.430","21.515","21.669","21.971","22.225","22.354","22.096","21.838"
"1691595918","21.427","21.530","21.699","22.012","22.254","22.394","22.140","21.857"
"1691595919","21.434","21.545","21.732","22.015","22.273","22.439","22.148","21.857"
"1691595920","21.427","21.538","21.729","22.012","22.248","22.443","22.145","21.850"
