"","Channel 1 - Elbow Last (C)","Channel 2 - Forearm Last (C)","Channel 3 - Knuckle Last (C)","Channel 4 - Blade of Hand Last (C)","Channel 5 - Thumb Last (C)","Channel 6 - Cupping Last (C)","Channel 7 - Palm Last (C)","Channel 8 - Elbow (lower) Last (C)","Channel 9 - Heater Last (C)","Channel 10 - Thermistor Last (C)","Channel 11 - Toad MCU Last (C)","Channel 12 - Dovetail Last (C)","Channel 13 - External Ambient Last (C)"
"1693412449","30.192","30.498","30.144","30.104","29.793","30.735","30.720","30.170","31.997","32.321","25.736","30.160","24.603"
"1693412450","30.174","30.469","30.115","30.093","29.774","30.727","30.706","30.134","31.986","32.314","25.740","30.161","24.584"
"1693412451","30.170","30.432","30.101","30.072","29.756","30.720","30.676","30.119","31.979","32.314","25.736","30.164","24.566"
"1693412452","30.196","30.418","30.126","30.072","29.723","30.720","30.669","30.148","31.982","32.307","25.740","30.164","24.573"
"1693412453","30.217","30.425","30.126","30.075","29.715","30.731","30.669","30.174","31.979","32.307","25.740","30.146","24.559"
"1693412454","30.217","30.440","30.108","30.090","29.693","30.735","30.673","30.170","31.971","32.299","25.740","30.150","24.537"
"1693412455","30.210","30.454","30.083","30.097","29.682","30.731","30.687","30.152","31.975","32.292","25.743","30.150","24.540"
"1693412456","30.174","30.432","30.054","30.064","29.682","30.728","30.684","30.152","31.968","32.296","25.777","30.153","24.544"
"1693412457","30.159","30.418","30.028","30.035","29.668","30.717","30.680","30.134","31.968","32.292","25.784","30.157","24.544"
"1693412458","30.174","30.443","30.013","30.010","29.657","30.717","30.677","30.130","31.975","32.307","25.792","30.165","24.555"
"1693412459","30.174","30.443","30.003","29.995","29.649","30.702","30.695","30.119","31.975","32.300","25.803","30.165","24.555"
"1693412460","30.196","30.440","29.992","29.981","29.646","30.710","30.702","30.127","31.961","32.292","25.784","30.161","24.541"
"1693412461","30.221","30.444","30.003","29.966","29.635","30.702","30.695","30.119","31.965","32.289","25.784","30.165","24.555"
"1693412462","30.207","30.451","29.999","29.970","29.650","30.702","30.699","30.108","31.950","32.281","25.788","30.146","24.570"
"1693412463","30.189","30.465","29.995","29.970","29.653","30.695","30.713","30.087","32.424","32.281","26.248","30.161","24.566"
"1693412464","30.170","30.473","29.999","29.959","29.646","30.684","30.706","30.079","33.593","32.274","26.623","30.136","24.559"
"1693412465","30.178","30.473","29.992","29.944","29.642","30.684","30.699","30.083","36.573","32.278","27.451","30.125","24.552"
"1693412466","30.192","30.469","29.962","29.933","29.628","30.680","30.713","30.098","39.637","32.278","28.235","30.121","24.570"
"1693412467","30.196","30.466","29.955","29.937","29.631","30.677","30.699","30.090","41.068","32.285","28.584","30.128","24.574"
"1693412468","30.210","30.469","29.948","29.944","29.650","30.684","30.717","30.112","43.566","32.278","29.184","30.125","24.567"
"1693412469","30.225","30.484","29.959","29.951","29.672","30.691","30.721","30.134","45.640","32.267","29.633","30.121","24.563"
"1693412470","30.225","30.484","29.981","29.944","29.661","30.677","30.731","30.138","46.539","32.274","29.828","30.114","24.559"
"1693412471","30.232","30.495","29.999","29.962","29.650","30.684","30.735","30.145","48.105","32.256","30.190","30.099","24.570"
"1693412472","30.240","30.498","30.006","29.992","29.646","30.699","30.728","30.156","49.410","32.274","30.522","30.085","24.574"
"1693412473","30.229","30.487","30.003","29.999","29.646","30.688","30.721","30.159","49.961","32.271","30.657","30.074","24.567"
"1693412474","30.236","30.506","30.018","30.025","29.653","30.695","30.721","30.163","50.921","32.274","30.897","30.077","24.585"
"1693412475","30.240","30.509","30.036","30.032","29.672","30.695","30.717","30.141","51.722","32.282","31.116","30.081","24.570"
"1693412476","30.222","30.506","30.043","30.021","29.679","30.699","30.713","30.134","52.069","32.278","31.203","30.085","24.574"
"1693412477","30.207","30.491","30.050","30.032","29.698","30.703","30.688","30.131","52.693","32.289","31.407","30.110","24.570"
"1693412478","30.203","30.473","30.029","30.032","29.694","30.699","30.677","30.131","53.223","32.293","31.615","30.107","24.570"
"1693412479","30.214","30.440","30.010","30.036","29.705","30.703","30.637","30.145","53.458","32.289","31.717","30.092","24.552"
"1693412480","30.214","30.451","30.032","30.047","29.702","30.703","30.626","30.138","53.873","32.300","31.863","30.078","24.534"
"1693412481","30.192","30.469","30.050","30.043","29.723","30.695","30.622","30.112","54.241","32.300","32.020","30.067","24.534"
"1693412482","30.193","30.491","30.061","30.058","29.720","30.710","30.615","30.109","54.411","32.300","32.078","30.067","24.538"
"1693412483","30.189","30.513","30.069","30.051","29.716","30.706","30.615","30.098","54.699","32.304","32.205","30.085","24.545"
"1693412484","30.156","30.528","30.072","30.054","29.705","30.706","30.597","30.072","54.959","32.300","32.355","30.096","24.541"
"1693412485","30.131","30.521","30.076","30.054","29.694","30.710","30.582","30.061","55.082","32.322","32.435","30.107","24.534"
"1693412486","30.105","30.528","30.080","30.058","29.694","30.703","30.575","30.032","55.309","32.333","32.585","30.096","24.501"
"1693412487","30.098","30.542","30.094","30.076","29.713","30.703","30.575","29.996","55.511","32.341","32.734","30.104","24.475"
"1693412488","30.145","30.579","30.087","30.073","29.716","30.699","30.579","29.978","55.605","32.344","32.785","30.111","24.449"
"1693412489","30.167","30.586","30.091","30.073","29.738","30.696","30.597","30.003","55.782","32.348","32.945","30.085","24.442"
"1693412490","30.178","30.619","30.098","30.069","29.738","30.696","30.597","30.011","55.940","32.362","33.124","30.038","24.416"
"1693412491","30.189","30.655","30.120","30.080","29.761","30.699","30.626","30.040","56.023","32.366","33.182","30.027","24.405"
"1693412492","30.189","30.666","30.127","30.083","29.771","30.695","30.626","30.025","56.154","32.377","33.324","30.009","24.391"
"1693412493","30.182","30.681","30.123","30.065","29.764","30.688","30.626","30.014","56.283","32.384","33.426","29.983","24.387"
"1693412494","30.193","30.721","30.127","30.076","29.768","30.685","30.648","30.003","56.345","32.384","33.499","29.972","24.383"
"1693412495","30.207","30.757","30.138","30.083","29.779","30.703","30.652","30.003","56.467","32.392","33.674","29.957","24.398"
"1693412496","30.211","30.798","30.153","30.080","29.790","30.706","30.652","30.003","56.594","32.421","33.820","29.957","24.435"
"1693412497","30.211","30.845","30.167","30.058","29.779","30.692","30.645","29.992","56.644","32.428","33.896","29.932","24.413"
"1693412498","30.211","30.871","30.175","30.051","29.790","30.692","30.659","29.989","56.749","32.439","34.068","29.939","24.417"
"1693412499","30.229","30.889","30.178","30.033","29.797","30.681","30.652","29.970","56.843","32.454","34.221","29.943","24.424"
"1693412500","30.222","30.911","30.171","30.011","29.801","30.677","30.655","29.974","56.890","32.465","34.279","29.947","24.435"
"1693412501","30.240","30.958","30.171","30.000","29.809","30.670","30.663","29.963","57.002","32.486","34.381","29.921","24.453"
"1693412502","30.251","30.987","30.167","29.985","29.816","30.678","30.670","29.959","57.088","32.497","34.563","29.910","24.479"
"1693412503","30.248","31.016","30.182","29.978","29.823","30.663","30.674","29.945","57.142","32.516","34.636","29.910","24.490"
"1693412504","30.244","31.049","30.189","29.970","29.827","30.678","30.663","29.937","57.225","32.530","34.767","29.913","24.501"
"1693412505","30.251","31.078","30.189","29.967","29.838","30.678","30.648","29.926","57.301","32.545","34.902","29.965","24.516"
"1693412506","30.291","31.119","30.211","29.956","29.857","30.685","30.638","29.901","57.348","32.563","34.986","29.987","24.523"
"1693412507","30.306","31.159","30.219","29.956","29.879","30.696","30.645","29.897","57.431","32.581","35.113","30.016","24.531"
