"","Channel 1 - Elbow Last (C)","Channel 2 - Forearm Last (C)","Channel 3 - Knuckle Last (C)","Channel 4 - Blade of Hand Last (C)","Channel 5 - Thumb Last (C)","Channel 6 - Cupping Last (C)","Channel 7 - Palm Last (C)","Channel 8 - Elbow (lower) Last (C)","Channel 9 - Heater Last (C)","Channel 10 - Thermistor Last (C)","Channel 11 - Toad MCU Last (C)","Channel 12 - Dovetail Last (C)","Channel 13 - External Ambient Last (C)","Channel 14 - Franka Dovetail Last (C)"
"1693577671","23.333","23.395","23.112","22.803","23.072","23.601","23.631","23.605","23.575","23.616","22.860","23.235","21.428","23.616"
"1693577672","23.343","23.380","23.093","22.788","23.064","23.601","23.623","23.597","23.571","23.611","22.883","23.236","21.441","23.623"
"1693577673","23.343","23.383","23.100","22.791","23.052","23.604","23.619","23.608","23.578","23.615","22.916","23.232","21.451","23.640"
"1693577674","23.346","23.383","23.092","22.780","23.044","23.600","23.618","23.596","23.574","23.607","22.926","23.239","21.510","23.629"
"1693577675","23.327","23.379","23.095","22.794","23.059","23.599","23.625","23.611","23.581","23.614","22.804","23.261","21.549","23.643"
"1693577676","23.337","23.382","23.095","22.808","23.065","23.595","23.610","23.602","23.573","23.610","22.831","23.266","21.560","23.642"
"1693577677","23.326","23.374","23.091","22.815","23.094","23.613","23.620","23.617","23.565","23.613","22.873","23.267","21.526","23.638"
"1693577678","23.337","23.377","23.108","22.840","23.119","23.624","23.620","23.624","23.743","23.608","22.806","23.274","21.530","23.645"
"1693577679","23.336","23.384","23.112","22.843","23.130","23.627","23.623","23.627","25.860","23.604","22.725","23.277","21.610","23.645"
"1693577680","23.350","23.387","23.108","22.846","23.130","23.630","23.623","23.630","28.486","23.604","22.743","23.269","21.639","23.637"
"1693577681","23.350","23.391","23.100","22.853","23.129","23.622","23.622","23.633","31.303","23.607","22.769","23.269","21.702","23.641"
"1693577682","23.346","23.390","23.114","22.846","23.122","23.633","23.637","23.626","36.669","23.607","22.724","23.268","21.811","23.640"
"1693577683","23.353","23.375","23.103","22.853","23.114","23.614","23.640","23.625","39.062","23.603","22.753","23.264","21.811","23.647"
"1693577684","23.356","23.367","23.091","22.841","23.110","23.606","23.636","23.625","43.210","23.617","22.826","23.263","21.880","23.631"
